id,active,status,summary,title,theme,themename,ContactCountry,funding,goal,donations,reports,remaining
26329,false,funded,"In the Philippines, 4-year old Brielle needs a liver transplant surgery to save her life from a rare illness. The surgery will be conducted in a Taiwan hospital specializing in children's diseases. Her doctors say, without this surgery in early 2017, it is unlikely that Brielle can survive. Half of the cost has been donated by local charities. AAI, through GlobalGiving donors, has raised $4,200 to help pay the surgery costs.  Now we must raise $8,500 for post-surgical medicines and care.",Support a New Year of Life for baby Brielle,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Gender Equality;Physical Health;Reproductive Health,United States,8500.00,8500.00,16,1,0.00
26357,false,funded,"Lack of clean water for drinking and hand-washing is a major cause of illness for children in tropical areas of the world. It is also a major cause of elementary school absences and poor academic performance due to fevers and lack of concentration. The United Nations rates Mindanao Region , Philippines near the bottom of the global Human Development Index. This program will fund a 500 gallon water tank, wash basins and garden irrigation to improve the health, hunger and hygiene at a model school",Clean Water & Hygiene for 200 Children in Mindanao,Clean Water,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Clean Water;Disaster Response;Physical Health;Food Security;Disaster Response;Physical Health;Food Security,United States,650.00,650.00,17,1,0.00
26369,false,funded,"The project will provide sumptuous meal for 500 malnourished and poor children by this New Year and the first quarter of 2017 as a means to improve their nutrition and so that they can taste  also what a nice meal really is, they, accustomed to salt and rice whole year round..",Feeding 500 Malnourished Children,Food Security,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Food Security,Philippines,2666.15,4000.00,39,1,1333.85
26381,false,retired,"This project aims to start a seedling nursery and plant 25,000 high-valued fruit and timber trees as replacement of trees damaged because of the long dry season caused by El Nino. The opportunity is that when the long dry cycle ends, continuous rain occurs and this is the time to plant trees. Trees provide income to growers, shade, food for animals, improve water retention, improve soil fertility and many more benefits to the local population as well as to the environment.",Tree Growing for Life As Rain Continue,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,20.00,2000.00,1,1,1980.00
26468,true,active,"The project will provide basic education, food and hygiene support for schoolgirls of ultra-poor families with special focus on schoolgirls affected by disasters, insurgency and the Coronavirus pandemic. Most often they are in danger of dropping-out because of the lack of simple necessities in life comprising nutritious food, basic school supplies and hygiene kits. We will focus our attention to schoolchildren living in remote barrios in the Philippines where assistance to them is minimal.","Food, Education and Emergency Support for Girls",Gender Equality,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Gender Equality,Philippines,14566.78,30000.00,105,18,15433.22
26487,false,retired,"Massive flooding hits Cagayan de Oro City since Monday January 16 destroying homes, vehicles and stranding thousands of residents. At this time, rains is continuous and thousands of residents are staying in evacuation centers. There is indeed urgent need for food packs, solar lamps, blankets, hygiene kits and materials for house repairs especially for ultra-poor families.",Help for Cagayan de Oro!,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,105.00,3000.00,3,1,2895.00
26598,false,funded,"The project will provide low-cost, durable and scientific sanitation hardware and food security support via root crop and vegetable production for very poor, vulnerable families in selected target areas in Mindanao and mainly in the provinces of Misamis Oriental and Zamboanga del Norte. A total of 3,000 families is targeted for this project aiming to improve their health, hygiene and nutrition situation and enabling them to live with dignity and fully participating in the life of the community.",Mindanao Sanitation and Food Security Project,Food Security,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Food Security;Physical Health,Philippines,9200.46,50000.00,106,11,40799.54
26658,false,funded,"Delia is 48 years old. She lives with her four children in a house dangerously close to a riverbank. Every year it floods, and Delia's home has been inundated many times. During floods Delia and her family must seek safety in an evacuation centre. However, Delia's nearest evacuation center is not yet finished. The interior walls still need rendering, and the building needs equipping with bunk beds. So, it still can't provide protection during disasters. Delia lives in constant danger and fear.",A Safe Refuge for Evacuees like Delia,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,10.00,500.00,2,1,490.00
26678,false,funded,"Poverty, hunger, communal violence and  limited public health  plague  Muslim Mindanao, Philippines. Sulu Province remains near the bottom of the UN's worldwide Human Development Index. A school-aged population of some 350,000 children  are mostly impoverished and suffering from hunger.   Female students are often most affected.  During the last weeks of the school year we will assist 3 schools with a total of 300 girls with daily lunches to build their health and focus  for educational success.","Clean Water, WASH & Nutrition for 300 Muslim Girls",Gender Equality,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Gender Equality;Physical Health;Food Security;Clean Water;Refugee Rights,United States,1501.25,1500.00,39,1,0.00
26748,false,retired,"The project seeks to increase the incomes of poor women chicken and duck entrepreneurs by the purchase of a 1,200 egg capacity incubator so that their production of chicks will increase to a level of 1,000 chicks (minus mortality)  per 28-day cycle. In this way they are able to produce and sell 1,000 day-old chicks in volume rather than at the present rate of depending on the chicken to hatch their eggs. This will mean good income for 72 poor women engaging in chicken and duck raising here.",Egg Incubator for Poor Women,Economic Growth,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Economic Growth,Philippines,155.00,1500.00,4,1,1345.00
26769,false,retired,There is a tendency in the rural areas here with poor farmers to marry early and have many children. This situation plus low knowledge in improved farm production leads to poor income and poor health and less chances in life. This project will provide training to 300 young farmers on organic agriculture and various farm-based livelihood options. Then we will provide them with starter livelihood and farm inputs for them to improve their own farms.,Training 300 Young Farmers on Organic Agriculture,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response;Economic Growth,Philippines,150.00,4000.00,4,1,3850.00
26790,true,active,"Poverty, hunger, rampant waterborne diseases, and limited public health plague the Philippines. Sulu Province remains near the bottom of the UN's worldwide Human Development Index. A school-aged population of some 350,000 children -- more than half girls -- are suffering from hunger. Worldwide, female students are most affected in similar schools. In 2021-22, we will continue to assist schools, and a total of 500 girls, to create clean water systems, improved hygiene, and daily nutrition.","Clean Water, WASH & Nutrition for 500 Muslim Girls",Gender Equality,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Gender Equality;Education;Food Security,United States,18353.73,25000.00,152,17,6646.27
26989,false,retired,"Liza is 36 and she lives with her three children in the community of Banaba. Their house is dangerously close to a riverbank. Every year there are floods, and Liza's house is often inundated. During floods Liza and her children have to spend days sleeping on the floor of an evacuation centre, and are often forced to go hungry as well. With your support, we'll be there to provide hot meals and emergency supplies during those floods. This will help keep Liza and her children healthy and happy.",Hot Meals for Evacuees like Liza,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,60.00,400.00,6,1,340.00
27040,false,retired,"Thousands of children on the streets of Manila beg or scavenge just to get something to eat.  Bahay Tuluyan assists these kids get off the street and back into families through holistic programs.   This project will start a rooftop organic garden in Manila where the children can be involved in growing their own food.  Not only will it help the children get good, healthy food to eat, but will also help in greening Manila and enhance the sustainability of Bahay Tuluyan's programs for children.",Kickstarting our Urban Rooftop Garden for Kids,Arts and Culture,Arts and Culture;Climate Action;Ecosystem Restoration;Food Security,Philippines,165.00,6000.00,4,0,5835.00
27135,false,retired,"In 2016, One World Institute's project in the Philippines performed more than 150 surgeries for cleft palate/lip and cataracts.  We also gave free eyeglasses to more than 2,000 patients.  We went to remote areas and examined  2,000 patients and gave free medicines to many.  We gave the Manyang People sacks of rice, children's books, slippers, warm shirts,etc.  In 2017 we will do a similar project in Mindanao, and need funds. We support a child cancer hospital. We have been doing this sinc",Philippine Medical Outreach 2017 for 2000 patients,Physical Health,Physical Health,United States,8104.00,35000.00,116,2,26896.00
27346,false,retired,"Following the success of our project to provide sumptuous meal for 500 malnourished and poor children by the first quarter of 2017, we are again launching a brand-new project to provide for another 500 more malnourished children and this time concentrating in the mountains of Misamis Oriental Province. This is as a means to improve their nutrition and so that they can taste also what a nice meal really is, they, accustomed to salt and rice whole year round..",Feeding Another Batch of 500 Malnourished Children,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,1807.39,2500.00,20,1,692.61
27347,false,retired,"By providing upgraded piglets, this project will provide for food for very poor girls and their families in a short term. Upgraded piglets as compared to pure breed are hardy, fast-growing and can be marketed in 3 months time. They can be fed also with kitchen left-overs and surplus production from the farm. They indeed provide tremendous benefit to the beneficiaries. We aim to provide 200 piglets to 200 beneficiaries.",Providing Upgraded Piglets for Poor Families,Gender Equality,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Gender Equality,Philippines,20.00,4000.00,1,1,3980.00
27358,false,retired,"Marilyn is 53 years old. She lives with her four children in a house dangerously close to a riverbank. Every year it floods, and Marilyn's home has been inundated many times. During floods Marilyn's family must seek safety in an evacuation centre. However, Marilyn's nearest evacuation center is not yet finished. The interior still needs rendering, and the building needs equipping with bunk beds. So, it still can't provide protection during disasters. Marilyn lives in constant danger and fear.",A Safe Refuge for Evacuees like Marilyn,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,55.00,500.00,5,1,445.00
27624,false,retired,The project will feed 75 malnourished children for 2 months or this duration of the dry season. The dry season is severe in 2 provinces in Mindanao which are Zamboanga del Norte and Misamis Oriental and there is a need to provide food for identified malnourished children so that they are able to survive and remain healthy. Our fieldworkers will deliver the food on a weekly basis until this dry season is over.,Feeding 75 Malnourished Children,Food Security,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Food Security;Physical Health,Philippines,55.00,2000.00,3,1,1945.00
27812,false,funded,"The project will provide financial support for 175 single and very poor teenage mothers living in the provinces of Leyte, Misamis Oriental and Zamboanga del Norte. These provinces were hit by major natural disasters just recently and with very little job and financial opportunities, very young girls easily gets pregnant and without a husband. Some of them also work in bars in the city and go back home already with child. Their situation is very difficult and obstacles insurmountable.",Financial Support for Single Teenage Mothers,Gender Equality,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Gender Equality;Economic Growth,Philippines,20.00,10000.00,1,3,9980.00
27813,false,funded,"The fund will be used to pay for the educational needs of indigent children especially those living in very remote mountain areas. Sometimes as simple lack of writing pads, school bags and slippers will prevent a child from going to school. The most problematic is the lack of food with starving children unable to go to school for lack of energy. They also often get sick and they lack medical support further debilitating them.",Educational Fund for Indigent Children,Physical Health,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Physical Health;Education,Philippines,1569.77,20000.00,20,10,18430.23
27817,true,active,"The project will provide food, vitamins, toys, clothing and medical help for 700 severely disadvantaged children of very poor families. Most of poor families here have many children, of from 5 to 7, and these children have very little in life by way of material life-support. This project will provide them with a variety of material life-support such as food, vitamins, toys, clothing and medical help so that they find comfort and happiness in life and for them to survive as healthy adults.",Providing Support for Indigent Children,Physical Health,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Physical Health,Philippines,2427.32,15000.00,56,16,12572.68
27818,false,funded,"We will provide farming tools such as plow, machete, water containers and farming inputs such as seeds, fertilizer and insecticides to 550 very poor farmers in order to increase their income from the farm and thus improve their social and economic status. They will then be able to live with dignity, fully participating in the life of the community.",Providing Life-Saving Support for Poor Farmers,Food Security,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Food Security,Philippines,4310.00,15000.00,17,11,10690.00
27819,true,active,Old people in the Philippines belonging to very poor families are often a burden to the family's economic resources. With very little assistance they are prone to a lot of debilitating diseases which could not be attended immediately. There is a need to help them and this project will support 700 elderly so that they find a little happiness in their present condition during this Coronavirus pandemic.,Covid-19: Nutrition Support for the Elderly,Economic Growth,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Economic Growth,Philippines,595.33,40000.00,10,5,39404.67
27946,false,retired,"Many schools in the Philippines lack chairs for the students. The need to provide for healthy education environment for young students are not addressed in many schools. On the other hand, people with disability do not have jobs due to discrimination and physical limitations. They formed into self-help organizations such as cooperative that manufacture school chairs. By donating to 2,000 school chairs to public schools, 200 persons with disability will be given livelihood and income in chairs.",Give Jobs to People with Disability - Philippines,Economic Growth,Economic Growth;Education;Disability Rights,Philippines,105.00,50000.00,3,0,49895.00
28027,false,funded,"We will provide urgent emergency needs such as blankets, food, medicine, hygiene kits for 2000 very poor families displaced by the current siege by ISIS-inspired Islamic Maute fighters. The exodus of inhabitants going out of the beautiful and historic city is unabated and fighting is still raging on. The foreseeable future is bleak especially for very poor families fleeing the mayhem. Aid is urgently needed as they cope for survival with relatives and evacuation centers.",Aid for 2000 Displaced Families in Marawi City,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,16292.55,20000.00,85,10,3707.45
28054,false,retired,"Thousands of residents in Marawi City have fled and are scattered in evacuation centers or staying with relatives. While food is of immediate concern and have been answered by relief agencies, the need for hygiene kits especially for women and girls is urgently needed. Providing them with such would improve their lives while in this dire situation by providing them with dignity and comfort.",Hygiene Kits for Marawi City Evacuees,Disaster Response,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Disaster Response;Physical Health,Philippines,214.00,4000.00,10,0,3786.00
28112,false,retired,"Endemic species in the Philippines like the majestic Philippine Eagle are losing their homes, fast. Help us restore and protect their habitat through forest restoration! We hope that you will join us in this cause to save our life-giving forests and bring back the only home of our unique and endangered wildlife.",Give a Home for Philippine Wildlife,Climate Action,Climate Action;Ecosystem Restoration;Sustainable Agriculture,Philippines,241.00,37500.00,3,0,37259.00
28271,false,retired,"The scope of the project is the reconstruction of part of the Elementary School of Banilad, went destroyed by the Nona Typhoon of December 2015.  In fact since the catastrophe, the 275 children enrolled in the School have been following classes in temporary shelters inadequate for the proper delivery of quality education. Kito Onlus will engage the rebuilding of the School to provide the local community with a safe space for children to learn and build their future.",Rebuild a Filipino School for 275 Children,Education,Child Protection;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Food Security;COVID-19;Clean Water;Safe Housing;Education,Italy,10.00,10000.00,1,0,9990.00
28503,false,funded,"John is 6. He lives with his parents, two sisters and younger brother in the Armpac area of Banaba, just outside Manila. Their house is dangerously close to a riverbank. John and his family live in constant fear of heavy rains which cause the river to quickly burst its banks. When this happens John and his family could easily become trapped by the rising water. Without a rescue boat to evacuate them they could sadly lose their lives in a major flood.",A Rescue Boat for John,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,501.00,500.00,14,1,0.00
28504,false,funded,"Xyrelle is 5 years old and lives with her younger sister and parents in the Armpac area of Banaba. Their flimsy, makeshift house is dangerously close to a river. Every year there are floods, and Xyrelle's house is often inundated. During floods Xyrelle and her family have to spend days sleeping on the floor of an evacuation centre, and are often forced to go hungry. With your support, we'll be able to provide hot meals. This will help keep Xyrelle and her family healthy and happy.",Hot Meals for Xyrelle,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,473.88,400.00,17,1,0.00
28572,false,funded,"Evacuees who have returned home and escaped from the ISIS siege in Marawi City will not have something to eat for the next few months and they will go hungry. They are mostly construction workers, household helpers, laborers and artisans working with Muslim families. They will not be able to go back to their work because of the on-going fighting and because the livelihoods of their employers are destroyed and will take time to recover.",Vegetable Gardening for Marawi City Evacuees,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,1913.56,12000.00,40,10,10086.44
29268,true,active,"The primary objective of the organization is to reduce the number and prevent the proliferation of street children. Childhope aims to empower street children and their families, and help them get access to better futures. It believes in education without borders, where the alternative education sessions seek to make a difference in the lives of street children by giving them the chance to read, write, and learn.",Provide Protection Through an Education Program,Education,Child Protection;Disaster Response;Education;Gender Equality;Physical Health;Food Security;COVID-19;Ending Abuse;Mental Health;Education,Philippines,9991.55,27685.00,225,20,17693.45
29337,false,retired,"Proper sanitation and providing regular food supply are two very basic and urgent need of the youth living in remote villages and there is a need to provide them with proper sanitation and food supply. Without proper sanitation they are the most affected and without food supply, their growth will be hindered. This project will target 1,500 youths and provide them basic sanitation and food via vegetable gardening.",Sanitation and Food Security Support for the Youth,Economic Growth,Child Protection;Climate Action;Disaster Response;Economic Growth;Gender Equality;Physical Health;Ending Human Trafficking;Food Security;Economic Growth,Philippines,1000.00,20000.00,1,2,19000.00
29429,false,retired,"Join us in restoring the Philippines' life-giving forests and protect the habitat of over 400 species in the area. Please help us plant 1,250 seedlings this planting season!",Help Us Plant 1 Hectare of Philippine Native Trees,Climate Action,Climate Action;Ecosystem Restoration;Sustainable Agriculture,Philippines,245.00,7500.00,3,0,7255.00
29513,false,funded,"Green Valley, in Kiamba, Sarangani Province, is an unelectrified village which still relies mainly on kerosene lamps when darkness falls. This project will provide solar lights to 100 T'Boli students of Green Valley Integrated School within the village so they can study safely and effectively at night, and will train parents on proper management and repair of the solar lights.",Solarized Homes to Improve and Nurture Education,Education,Disaster Response;Education;Education,Philippines,8052.50,25000.00,113,7,16947.50
29687,false,retired,"Poor farmers eking an existence in Barrio Digkilaan suffer from severe lack of water. The opportunity is that there is a small spring down the mountain slope that can be pumped up to the village. The choice is a ram-pump because it has very few moving parts and very robust and does not need external energy but the kinetic energy of flowing water in order to power it.  If this is realized, then 175 families in the barrio will have water for drinking, washing and hygiene 24/7.",Providing Water for a Water-Deficient Village,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,110.00,1500.00,2,1,1390.00
29696,false,retired,"John is 6 years old. He lives with his parents, two sisters and younger brother in the Armpac area of Banaba, just outside Manila. Their house is dangerously close to a riverbank. Every year there are floods, and John's house has been inundated several times in his life. During floods John and his family have to spend days sleeping on the floor of an evacuation centre, and are often forced to go hungry. With your help, we'll be there to provide hot meals.",Hot meals for evacuees like John,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,50.00,400.00,1,1,350.00
29846,false,retired,"Most children of dirt-poor farmers living in the mountain barrios in Zamboanga del Norte are always hungry due to the lingering effect of the drought caused by the El Nino phenomenon. They scavenge fruits, leaves and roots of plants in order to survive. This project will provide them with nutritious food as well as help their families with increasing food supply by providing farming inputs.",Feeding Hungry and Malnourished Children,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,3305.00,6000.00,73,1,2695.00
30557,false,funded,"Ana got pregnant for the first time when she was 17. She lost the baby 7 months into her pregnancy, and a year later became pregnant again. This time she lost the baby and her own life. This story is too common in Palawan, Philippines, where reproductive health services and information are unavailable to girls like Ana. We want to educate girls about their bodies and health and provide access to free, high-quality services so they are empowered, healthy and in school.",Books Not Babies!,Gender Equality,Child Protection;Economic Growth;Education;Gender Equality;Physical Health;Justice and Human Rights;Gender Equality;Physical Health;Justice and Human Rights;Reproductive Health,United States,8945.00,15000.00,121,4,6055.00
30697,true,active,"The movement for sexual and reproductive health and rights (SRHR) has been witnessing a number of alarming rollbacks and restrictions. Nevertheless, the Women's Global Network for Reproductive Rights (WGNRR) is committed to standing up for the rights of those who most lack social, political and economic power by spearheading global campaigns for SRHR. Through our partners & members, our campaigns have reached 15 million users online and mobilized over 800 organizations in more than 85 countries.",Raising our Voices: Global Campaigning for SRHR,Justice and Human Rights,Gender Equality;Justice and Human Rights;LGBTQIA+ Equality;Ending Abuse;Reproductive Health;Justice and Human Rights;Gender Equality;Physical Health;Mental Health;Reproductive Health,Philippines,3861.22,5000.00,45,15,1138.78
30807,false,funded,"The project will provide life skills for 400 single mothers who otherwise will have little chance of improving their social and economic situation. The skills the project will provide will include various entrepreneurial activities that they can do like dress making, gardening, raising of pigs and goats, food processing and vending, massage therapy, among others.",Providing Life Skills for Single Mothers,Economic Growth,Animal Welfare;Climate Action;Disaster Response;Economic Growth;Ecosystem Restoration;Food Security;COVID-19;Clean Water;Sustainable Agriculture;Economic Growth,Philippines,30.00,15000.00,2,2,14970.00
30984,false,retired,#OperationBuchog is a daily feeding program in one month for malnourish PinoyWish Kids all over the Philippines. Each town have chosen 500 malnourished children ages 2-10 years old called PinoyWish Kids. This children are mostly from less fortunate and severe poor community area. Parents have no way to earn a livelihood and can't afford to buy food for their children who don't get enough nutritious food that will result to malnutrition.,#OperationBuchog: NutriMeal for 500 PinoyWish Kids,Physical Health,Physical Health;Education,Philippines,313.33,5000.00,6,0,4686.67
31054,false,funded,"The House of Hope in Davao, Philippines is the only cancer treatment center for children among the  20 million residents of the Mindanao region.  The Center currently serves more than 3,500 children with various forms of cancer. Many are in later stages due to severe poverty of their families and lack of public health.  This Christmas we seek to bring the healing joy of a gift exchange of toys among 400 children who need happiness in order to heal.",Christmas Toys for 400 Children with Cancer,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Gender Equality;Physical Health;Clean Water,United States,935.00,850.00,18,0,0.00
31056,false,retired,"Lack of clean drinking water and hand-washing facilities are major causes of illness for children in tropical areas of the world. The resulting illnesses are also a major cause of school absences, poor academic performance  and lack of concentration. The United Nations rates Sulu Province, Philippines near the bottom of the global Human Health and Development Index. Our cost-effective clean water program improves public health and supports education needs to build strong and healthy communities.",Clean Water & Hygiene for 500 School Children,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Education;Clean Water,United States,1440.00,1500.00,30,1,60.00
31063,false,funded,"Lack of clean water for drinking and hand-washing is a major cause of illness for children in tropical areas of the world. It is also a major cause of elementary school absences and poor academic performance due to fevers and lack of concentration. The United Nations rates Mindanao Region , Philippines near the bottom of the global Human Development Index. This program will fund a 100 gallon water tank and plastic wash basins to improve the health and hygiene needs at a model school.",Clean Water & Hygiene for 175 Children in Mindanao,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Economic Growth;Gender Equality;Clean Water,United States,500.00,500.00,13,1,0.00
31065,false,retired,Providing health and nutrition support via small-scale farm production for 750 severely malnourished youth living in the mountains of west Misamis Oriental so that they will be able to grow as healthy and productive adults fully participating in the life of their communities.,Disadvantaged Youth Health and Nutrition Project,Economic Growth,Child Protection;Climate Action;Disaster Response;Economic Growth;Gender Equality;Physical Health;Ending Human Trafficking;Food Security;Economic Growth,Philippines,358.00,20000.00,14,0,19642.00
31079,false,funded,"CAMELEON will open a new shelter in Silay, in the province of Negros Occidental, in order to facilitate the protection, personal reconstruction and reintegration of 40 young girls victim of sexual abuse (5-23 years old).They will be provided with the opportunity to go to school, participate in sports, and receive medical/psychological care as well as legal assistance when they wish to sue their aggressors.  CAMELEON will also raise awareness on Children's Rights at local and national levels.",Protect victims of sexual abuse in the Philippines,Child Protection,Child Protection;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Justice and Human Rights;Sport;COVID-19;Ending Abuse;Mental Health;Reproductive Health;Child Protection;Gender Equality;Justice and Human Rights;Ending Abuse,France,407.35,80000.00,5,2,79592.65
31080,false,retired,"The Fairplay School is a happier, more effective learning environment for students in Payatas, one of the largest and poorest slums in the Philippines.   Our study revealed that 79% of the students have suffered childhood trauma levels that put them at-risk (4 or more of the 10 categories in the Adverse Childhood Experiences study). This is compared with 6% in the US (Felitti), and 9% in Quezon City, Manila.  We can make a better school for these students and show a better way for many more.",The Fairplay School: Better Education in the Slums,Education,Education,Philippines,40.00,24310.00,2,0,24270.00
31108,false,funded,"Sometimes happiness and giving is the best medicine.  This is true at House of Hope in Davao, Philippines. Located at the Southern Mindanao Medical Center, this facility is the only healing provider for 3,500 children with various forms of cancer in their region.  Many are in later stages due to the severe poverty of their families and lack of public health. Most have never owned a toy. This Christmas we will empower 100 children by providing them with gift toys to exchange with each other.",Christmas Party Joy for 100 Children with Cancer,Physical Health,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Physical Health;Gender Equality;Physical Health;Clean Water,United States,360.00,350.00,10,1,0.00
31135,false,retired,"Social injustice, religious prejudice and dire poverty create violent children and a growing number of armed conflict that affects millions of children. In the Philippines, children as young as 10 years old are recruited into violent drug gangs, rebel armies and religious extremist groups. This program uses arts such as music and dance as lively alternatives for 200 Christian and Muslim youth in elementary and high schools to resist the lure of violent crime and extremism.",Help 200 Children Stop Violence by Music and Arts,Child Protection,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Child Protection;Gender Equality;Arts and Culture;Gender Equality;Arts and Culture,United States,540.00,1000.00,16,0,460.00
31328,false,funded,"Mercy In Action went into the disaster zone in the Philippines in November 2013 to provide emergency care to pregnant women and infants who survived typhoon Haiyan/Yolanda and were left without any maternity services. Mercy In Action already rebuilt one birth center on Leyte island, and  we will  build a second birth center on Samar island to replace destroyed birthing facilities there. All our birth centers are top quality and free to the patient, providing real help in disaster recovery.",Rebuilding Birth Center after Disaster-Philippines,Disaster Response,Child Protection;Gender Equality;Physical Health;Disaster Response;Gender Equality,United States,3005.00,3000.00,23,4,0.00
31389,false,retired,"Hungry children in remote areas that we are serving shall partake of sumptuous meal this Christmas season in order to make them happy. The meal will be served by our teams and volunteers and will comprise fried chicken, rice, roasted pig, candies, chocolates and native delicacies. We will also provide toys and slippers for the children. We will target 2,500 children to be served by this initiative.",Happy Meals for Hungry Children this Christmas,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,123.32,5000.00,6,1,4876.68
